                  Analyte  Sample,EGF,FGF-2,G-CSF,GM-CSF,IFNg,IL-10,IL-12p70,sCD-40L,IL-1ra,IL-1b,IL-2,IL-4,IL-5,IL-6,IL-8,IP-10,MCP-1,MIP-1a,MIP-1b,TNFa,VEGFa
Unknown4,0.028144473672945314,-0.008371381261834676,-0.0004899442977378266,-0.013849618924028265,0.016125126215638753,-0.05929232456198705,0.2675726967700621,0.04520346581488166,-0.02648161709309782,-0.04602022153709445,-0.0976758485566368,-0.09783153019754434,-0.12673547051286543,-0.01735572461249532,-0.012721280666227013,-0.00905898405604677,-0.013678918241570748,-0.004632237437303413,0.021881998697111077,0.03607239189603187,-0.024230187040463758
Unknown5,-0.009013281935307538,0.008591034524409624,0.021412669927826755,0.006455127691740753,-0.02021170241644459,0.14689246294949604,-0.020721453006246143,-0.025605514258150608,-0.04760436881493009,0.03135655201595278,0.015151821811124344,-0.0039823788197287935,-0.15766193886966795,-0.1573499713104308,-0.03073028109756848,0.011953016760704371,0.029510166360882772,-0.021342094006574094,-0.015941845887163797,-0.026684939874621824,0.006754215887536552
Unknown6,0.029144829889711454,-0.008267074441922484,0.002997558664912997,-0.028700876653206475,-0.027832486700801125,0.316858401411927,-0.018897356667639895,0.02269334461251693,-0.031044294689066304,-0.06990995719402279,-0.0692327473605705,-0.0973563567857974,-0.20658248418330133,-0.221229442998449,0.056507591234977964,-0.0026764377891732583,0.013290233386753392,-0.01426503316013078,-0.004583436498874133,0.010153267622388912,0.012359046282649278
Unknown7,-0.028765108100215375,0.005209497196608348,-0.03803465498698663,-0.00038387409357229507,0.11767949534426883,0.006792078963536646,-0.0048146429395488945,-0.04139855712550222,0.038700693487861426,-0.07444350439010358,-0.04380675775604562,0.07056404074283201,0.11690941480943128,0.10612066790425145,0.04980399192449339,0.02844570850435385,-0.02158896172655561,0.022885413512458014,0.02168858524800893,-0.04233563913754815,-0.017655411608596294
Unknown8,0.0004577276764820004,-0.004855047698904824,-0.03526744853081562,0.015480109181909812,0.006322589328526654,-0.000841910289780784,-0.0377090396028673,-0.0229120424214041,0.05547134551384095,-0.01553928472499419,-0.05189737870221284,0.08088515655561651,0.19553268061080706,0.1799990591139386,0.07752150295763255,0.016963049806400066,-0.03816907441506329,0.04444475533051365,-0.0003178122762711455,-0.019505721052274133,-0.028920191801849737
Unknown9,-0.037896428265085325,-0.008509028085363246,-0.0017123212384757558,-0.031198267173777328,0.04379839790499327,0.025674118495106632,-0.037981188943939925,0.015417515951994698,-0.032049121124894386,-0.04794949906189225,-0.024967256880916694,0.04327889935717577,-0.10633723724834077,0.12335182448022262,-0.023851795508970618,-0.026485571829814536,-0.0019529939298131294,-0.04384747085110861,0.06451850305707324,0.012436026491960295,0.04992296427669407
Unknown10,0.011505476276383875,-0.010071000310180045,-0.013443341893801614,-0.027499553181601424,-0.0010665691116227075,-0.01996212923525023,-0.026790253272892937,0.04898356358674538,-0.007775451797032179,-0.06081598590012477,-0.03979285814134592,-0.009407817001844399,0.005854630074032974,0.1363363678797605,0.04645175249504739,-0.02878256012488306,-0.01941138906935108,-0.025526342551349335,0.05256654419639034,0.01022618689812585,0.033729958062313825
Unknown11,-0.053339340657501344,-0.01573871928650833,0.010961413413230425,-0.03046503260350228,0.15098243534083094,0.03187420220229706,-0.03209806268079708,0.005356878149197719,0.0037211924258189477,0.07998047211233533,0.04593302253788181,0.03274193343164444,-0.13971714687719816,-0.30346007352395876,0.06766739509191688,0.022440279246623784,0.031504483060326716,-0.05945309606977915,-0.06190908812989515,0.06325252342732703,-0.006018058570992579
Unknown12,-0.031949387189101675,0.010597998017053023,0.05825154681479722,-0.05236782347260688,0.19814106187017155,-0.05381902659596558,0.04067650857189526,0.0141150548138117,-0.025640129998227817,0.023360341241583565,0.018848379955178962,-0.09972242572021076,-0.14845346635369194,-0.21097531637660266,0.02907542756257042,-0.038119338329171026,0.0065980986900559535,-0.01549976206859198,-0.012891263203691744,0.015382159411738039,0.02172903162065043
Unknown13,-0.04233482928196963,0.020201319174360577,0.011146927760620873,0.018196528380287874,-0.15900185202179756,-0.05970088990808896,0.005460105954445996,-0.043499946686340274,0.047114891724226005,0.008642839114624878,0.06518881040651077,0.026081809220961316,0.08356745122822004,0.1049786986002538,0.01606276716243496,0.010303497168696218,0.004741189422910963,0.022655791836716732,0.010948106725925943,0.014948572804317661,-0.05289230374837356
Unknown14,0.01662876101213434,0.009442799407522018,0.006450424049768477,0.005810758180647302,-0.15746723589586517,-0.043282936618583845,-0.06252899511183124,0.04598002692477343,0.017593487447698702,-0.043947161943501734,-0.007473059835032297,0.011090801386401838,0.07571408923526421,0.1138736000100035,0.04705943446847019,-0.004924325453220968,-0.0038127527367348146,0.029196375623590287,0.0074317019356591185,0.030202172105910807,-0.039726091534952435
